# model_key	model_tag	run_name	train_jid	script
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_c256_adv_t16_1p7b	3678580	scripts/train/qwen3_1.7b/jsd005/opsd_st_tt_clip005_c256_adv_t16_openthoughts.sh
qwen3_4b	qwen3_4b	st_tt_clip005_c256_adv_t16_4b	3678581	scripts/train/qwen3_4b/jsd005/opsd_st_tt_clip005_c256_adv_t16_openthoughts.sh
qwen3_4b_thinking	qwen3_4b_thinking	st_tt_clip005_c256_adv_t16_4bt	3678582	scripts/train/qwen3_4b_thinking/jsd005/opsd_st_tt_clip005_c256_adv_t16_openthoughts.sh
olmo3_7b_think	olmo3_7b_think	st_tt_clip005_c256_adv_t16_olmo7bt	3678583	scripts/train/olmo3_7b_think/jsd005/opsd_st_tt_clip005_c256_adv_t16_openthoughts.sh
mimo_7b_rl	mimo_7b_rl	st_tt_clip005_c256_adv_t16_mimo7b	3678584	scripts/train/mimo_7b_rl/jsd005/opsd_st_tt_clip005_c256_adv_t16_openthoughts.sh
