[watch-slurm] host=a2n17c3 job=3606337
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/olmo3_7b_think_jsd_clip/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-10T21:12:22+08:00] host=a2n17c3 job=3606337 interval=120s post_wait=90s
[2026-09-10T21:48:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:48:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:48:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:50:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:50:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:50:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:52:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:52:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:52:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:54:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:54:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:54:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:56:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:56:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:56:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T21:58:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T21:58:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T21:58:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:00:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T22:00:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T22:00:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:02:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T22:02:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T22:02:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:04:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T22:04:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T22:04:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:06:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T22:06:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T22:06:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:08:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T22:08:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T22:08:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:10:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T22:10:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T22:10:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:12:23+08:00] WAIT st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 state=RUNNING
[2026-09-10T22:12:23+08:00] WAIT st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 state=RUNNING
[2026-09-10T22:12:23+08:00] progress done=0/2 pending=2 failed=0
[2026-09-10T22:14:23+08:00] READY st_tt_clip01_1e6_olmo7bt_ckpt100 jid=3606335 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/olmo3_7b_think/st_tt_clip01_1e_6_openthoughts_olmo7bt/3606335/checkpoint-100 (train_state=COMPLETED)
[2026-09-10T22:15:53+08:00] SUBMITTED evals for st_tt_clip01_1e6_olmo7bt_ckpt100 tag=st_tt_clip01_1e6_olmo7bt_ckpt100
[2026-09-10T22:15:53+08:00] READY st_tt_clip001_1e6_olmo7bt_ckpt100 jid=3606336 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/olmo3_7b_think/st_tt_clip001_1e_6_openthoughts_olmo7bt/3606336/checkpoint-100 (train_state=COMPLETED)
[2026-09-10T22:17:23+08:00] SUBMITTED evals for st_tt_clip001_1e6_olmo7bt_ckpt100 tag=st_tt_clip001_1e6_olmo7bt_ckpt100
[2026-09-10T22:17:23+08:00] progress done=2/2 pending=0 failed=0
[2026-09-10T22:17:23+08:00] ALL trains handled (done=2 failed=0); exiting
[2026-09-10T22:17:23+08:00] watch finished
