# model_key	model_tag	run_name	train_jid	script	eval_tag
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_1e_6_dapomath_1p7b	3765001	scripts/train/qwen3_1.7b/jsd005/opsd_student_think_teacher_think_clip005_1e_6_dapomath.sh	st_tt_dapo_1p7b_ckpt100
qwen3_4b	qwen3_4b	st_tt_clip005_1e_6_dapomath_4b	3765002	scripts/train/qwen3_4b/jsd005/opsd_student_think_teacher_think_clip005_1e_6_dapomath.sh	st_tt_dapo_4b_ckpt100
qwen3_1.7b	qwen3_1.7b	snt_tt_clip005_1e_6_dapomath_1p7b	3765003	scripts/train/qwen3_1.7b/jsd005/opsd_student_nothink_teacher_think_clip005_1e_6_dapomath.sh	snt_tt_dapo_1p7b_ckpt100
qwen3_4b	qwen3_4b	snt_tt_clip005_1e_6_dapomath_4b	3765004	scripts/train/qwen3_4b/jsd005/opsd_student_nothink_teacher_think_clip005_1e_6_dapomath.sh	snt_tt_dapo_4b_ckpt100
