[watch-slurm] host=a2n17c3 job=3765005
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/jsd005_dapomath/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-19T17:08:02+08:00] host=a2n17c3 job=3765005 interval=120s post_wait=90s
[2026-09-19T17:30:03+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:30:03+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=RUNNING
[2026-09-19T17:30:03+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=RUNNING
[2026-09-19T17:30:03+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:32:03+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=RUNNING
[2026-09-19T17:32:03+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:32:03+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=RUNNING
[2026-09-19T17:32:03+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=RUNNING
[2026-09-19T17:32:03+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:34:03+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=RUNNING
[2026-09-19T17:34:03+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:34:03+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=RUNNING
[2026-09-19T17:34:03+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=RUNNING
[2026-09-19T17:34:03+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:36:03+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=RUNNING
[2026-09-19T17:36:03+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:36:03+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=RUNNING
[2026-09-19T17:36:03+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=RUNNING
[2026-09-19T17:36:03+08:00] progress done=0/4 pending=4 failed=0
[2026-09-19T17:38:03+08:00] WAIT st_tt_dapo_1p7b_ckpt100 jid=3765001 state=RUNNING
[2026-09-19T17:38:03+08:00] WAIT st_tt_dapo_4b_ckpt100 jid=3765002 state=RUNNING
[2026-09-19T17:38:03+08:00] WAIT snt_tt_dapo_1p7b_ckpt100 jid=3765003 state=RUNNING
[2026-09-19T17:38:03+08:00] WAIT snt_tt_dapo_4b_ckpt100 jid=3765004 state=RUNNING
[2026-09-19T17:38:03+08:00] progress done=0/4 pending=4 failed=0
slurmstepd: error: *** JOB 3765005 ON a2n17c3 CANCELLED AT 2026-09-19T17:38:22 ***
