# model_key	model_tag	run_name	train_jid	script	eval_tag
qwen3_1.7b	qwen3_1.7b	st_tt_clip005_1e_6_openthoughts_1p7b_mask_reasoning	3828684	scripts/train/qwen3_1.7b/jsd005/opsd_st_tt_clip005_1e_6_openthoughts_mask_reasoning.sh	maskR_1p7b_ckpt100
qwen3_4b	qwen3_4b	st_tt_clip005_1e_6_openthoughts_4b_mask_reasoning	3828685	scripts/train/qwen3_4b/jsd005/opsd_st_tt_clip005_1e_6_openthoughts_mask_reasoning.sh	maskR_4b_ckpt100
qwen3_4b_instruct	qwen3_4b_instruct	snt_tnt_clip005_1e_6_openthoughts_instruct_mask_structure	3828686	scripts/train/qwen3_4b_instruct/jsd005/opsd_snt_tnt_clip005_1e_6_openthoughts_mask_structure.sh	maskS_4bi_ckpt100
olmo3_7b_instruct	olmo3_7b_instruct	snt_tnt_clip005_1e_6_openthoughts_olmo7bit_mask_structure	3828687	scripts/train/olmo3_7b_instruct/jsd005/opsd_snt_tnt_clip005_1e_6_openthoughts_mask_structure.sh	maskS_olmo7bi_ckpt100
