[watch-slurm] host=a2n17c3 job=3610942
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_jsd_clip/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-11T05:36:57+08:00] host=a2n17c3 job=3610942 interval=120s post_wait=90s
[2026-09-11T06:12:57+08:00] WAIT st_tt_clip01_1e6_1p7b_ckpt100 jid=3610940 state=RUNNING
[2026-09-11T06:12:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=PENDING
[2026-09-11T06:12:58+08:00] progress done=0/3 pending=3 failed=0
[2026-09-11T06:14:58+08:00] READY st_tt_clip001_1e6_1p7b_ckpt100 jid=3610939 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/qwen3_1.7b/st_tt_clip001_1e_6_openthoughts_1p7b/3610939/checkpoint-100 (train_state=FAILED)
[2026-09-11T06:16:28+08:00] SUBMITTED evals for st_tt_clip001_1e6_1p7b_ckpt100 tag=st_tt_clip001_1e6_1p7b_ckpt100
[2026-09-11T06:16:28+08:00] READY st_tt_clip01_1e6_1p7b_ckpt100 jid=3610940 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/qwen3_1.7b/st_tt_clip01_1e_6_openthoughts_1p7b/3610940/checkpoint-100 (train_state=FAILED)
[2026-09-11T06:17:58+08:00] SUBMITTED evals for st_tt_clip01_1e6_1p7b_ckpt100 tag=st_tt_clip01_1e6_1p7b_ckpt100
[2026-09-11T06:17:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:17:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:19:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:19:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:21:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:21:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:23:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:23:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:25:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:25:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:27:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:27:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:29:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:29:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:31:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:31:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:33:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:33:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:35:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:35:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:37:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:37:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:39:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:39:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:41:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:41:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:43:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:43:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:45:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:45:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:47:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:47:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:49:58+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=RUNNING
[2026-09-11T06:49:58+08:00] progress done=2/3 pending=1 failed=0
[2026-09-11T06:51:58+08:00] READY st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/qwen3_1.7b/st_tt_clip02_1e_6_openthoughts_1p7b/3610941/checkpoint-100 (train_state=FAILED)
[2026-09-11T06:53:28+08:00] SUBMITTED evals for st_tt_clip02_1e6_1p7b_ckpt100 tag=st_tt_clip02_1e6_1p7b_ckpt100
[2026-09-11T06:53:28+08:00] progress done=3/3 pending=0 failed=0
[2026-09-11T06:53:28+08:00] ALL trains handled (done=3 failed=0); exiting
[2026-09-11T06:53:28+08:00] watch finished
