# model_key	model_tag	run_name	train_jid	script
qwen3_4b_thinking	qwen3_4b_thinking	st_tt_lora_clip005_lr5e6_openthoughts_4bt	3677229	/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/scripts/train/qwen3_4b_thinking/lora/openthoughts/opsd_student_think_teacher_think_lora_openthoughts.sh
olmo3_7b_think	olmo3_7b_think	st_tt_lora_clip005_lr5e6_openthoughts_olmo7bt	3677230	/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/scripts/train/olmo3_7b_think/lora/openthoughts/opsd_student_think_teacher_think_lora_openthoughts.sh
