[watch-slurm] host=a2n17c2 job=3749338
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/snt_tt_same_clip005/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-18T00:27:30+08:00] host=a2n17c2 job=3749338 interval=120s post_wait=90s
[2026-09-18T00:55:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T00:55:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T00:55:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T00:55:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T00:57:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T00:57:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T00:57:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T00:57:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T00:59:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T00:59:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T00:59:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T00:59:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:01:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:01:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:01:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:01:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:03:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:03:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:03:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:03:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:05:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:05:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:05:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:05:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:07:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:07:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:07:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:07:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:09:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:09:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:09:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:09:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:11:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:11:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:11:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:11:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:13:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:13:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:13:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:13:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:15:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:15:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:15:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:15:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:17:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:17:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:17:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:17:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:19:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:19:30+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:19:30+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:19:30+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:21:30+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:21:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:21:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:21:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:23:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:23:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:23:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:23:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:25:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:25:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:25:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:25:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:27:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:27:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:27:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:27:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:29:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:29:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:29:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:29:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:31:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:31:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:31:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:31:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:33:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:33:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:33:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:33:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:35:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
[2026-09-18T01:35:31+08:00] WAIT snt_tt_same_clip005_4b_ckpt100 jid=3749336 state=PENDING
[2026-09-18T01:35:31+08:00] WAIT snt_tt_same_clip005_8b_ckpt100 jid=3749337 state=PENDING
[2026-09-18T01:35:31+08:00] progress done=0/3 pending=3 failed=0
[2026-09-18T01:37:31+08:00] WAIT snt_tt_same_clip005_1p7b_ckpt100 jid=3749335 state=PENDING
