[watch-slurm] host=a3n11c3 job=3798771
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/s1.7b_t4b_it/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-21T20:08:26+08:00] host=a3n11c3 job=3798771 interval=120s post_wait=90s
[2026-09-21T20:46:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:48:27+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:48:27+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:48:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:50:27+08:00] WAIT s1p7_t4bit_opsd_ckpt100 jid=3798769 state=RUNNING
[2026-09-21T20:50:27+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:50:27+08:00] progress done=0/2 pending=2 failed=0
[2026-09-21T20:52:27+08:00] READY s1p7_t4bit_opsd_ckpt100 jid=3798769 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/s1.7b_t4b_it/s1p7_t4bit_st_tnt_clip005_1e_6_openthoughts/3798769/checkpoint-100 (train_state=FAILED)
[2026-09-21T20:53:57+08:00] SUBMITTED evals for s1p7_t4bit_opsd_ckpt100 tag=s1p7_t4bit_opsd_ckpt100
[2026-09-21T20:53:57+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:53:57+08:00] progress done=1/2 pending=1 failed=0
[2026-09-21T20:55:57+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:55:57+08:00] progress done=1/2 pending=1 failed=0
[2026-09-21T20:57:57+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:57:57+08:00] progress done=1/2 pending=1 failed=0
[2026-09-21T20:59:57+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T20:59:57+08:00] progress done=1/2 pending=1 failed=0
[2026-09-21T21:01:57+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T21:01:57+08:00] progress done=1/2 pending=1 failed=0
[2026-09-21T21:03:57+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T21:03:57+08:00] progress done=1/2 pending=1 failed=0
[2026-09-21T21:05:57+08:00] WAIT s1p7_t4bit_same_ckpt100 jid=3798770 state=RUNNING
[2026-09-21T21:05:57+08:00] progress done=1/2 pending=1 failed=0
[2026-09-21T21:07:57+08:00] READY s1p7_t4bit_same_ckpt100 jid=3798770 -> /gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/outputs/s1.7b_t4b_it/s1p7_t4bit_st_tnt_same_clip005_1e_6_openthoughts/3798770/checkpoint-100 (train_state=FAILED)
[2026-09-21T21:09:27+08:00] SUBMITTED evals for s1p7_t4bit_same_ckpt100 tag=s1p7_t4bit_same_ckpt100
[2026-09-21T21:09:27+08:00] progress done=2/2 pending=0 failed=0
[2026-09-21T21:09:27+08:00] ALL trains handled (done=2 failed=0); exiting
[2026-09-21T21:09:27+08:00] watch finished
